epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,4363.46,0.90278,0.68482,1.07897,0.88982,0.91048,0.95064,0.72498,0.91359,0.63337,1.01378,0.000636762,0.000636762,0.000636762
58,4421.62,0.90289,0.68189,1.09939,0.96889,0.89182,0.94564,0.74333,0.84039,0.61355,0.98134,0.000622615,0.000622615,0.000622615
59,4483.53,0.87318,0.64002,1.07013,0.95013,0.89021,0.94778,0.76131,0.76802,0.63848,0.95251,0.000608468,0.000608468,0.000608468
60,4548.86,0.92879,0.69048,1.11754,0.94601,0.89278,0.94731,0.74692,0.80108,0.6776,0.97273,0.000594321,0.000594321,0.000594321
61,4633.01,0.85047,0.64367,1.09527,0.95651,0.8706,0.94405,0.73113,0.82914,0.64058,1.00315,0.000580174,0.000580174,0.000580174
62,4722.18,0.8093,0.6087,1.03655,0.96172,0.88977,0.94583,0.74792,0.77872,0.63286,0.95679,0.000566027,0.000566027,0.000566027
63,4816.86,0.8449,0.63797,1.05398,0.96589,0.88975,0.93426,0.74568,0.76812,0.63512,0.95432,0.00055188,0.00055188,0.00055188
64,4913.38,0.8572,0.65605,1.06498,0.90085,0.85769,0.91548,0.69909,0.87614,0.69595,0.99534,0.000537733,0.000537733,0.000537733
65,5004.79,0.89108,0.64336,1.07717,0.94656,0.87201,0.9332,0.76718,0.75158,0.67477,0.94127,0.000523586,0.000523586,0.000523586
66,5089.1,0.79822,0.6087,1.02462,0.96055,0.8752,0.95154,0.76251,0.77909,0.64304,0.96355,0.000509438,0.000509438,0.000509438
67,5169.88,0.76977,0.57845,1.01894,0.91494,0.92496,0.95429,0.75501,0.79629,0.61259,0.99622,0.000495291,0.000495291,0.000495291
68,5246.13,0.8151,0.58892,1.03353,0.93064,0.9134,0.94636,0.75329,0.80296,0.59654,0.9809,0.000481144,0.000481144,0.000481144
69,5323.28,0.79376,0.569,1.03417,0.95395,0.92832,0.94336,0.7358,0.80356,0.57924,0.98594,0.000466997,0.000466997,0.000466997
70,5403.47,0.77534,0.54464,1.01531,0.90915,0.93301,0.95256,0.75175,0.83641,0.59715,0.99486,0.00045285,0.00045285,0.00045285
71,5481.09,0.80365,0.58717,1.02508,0.96135,0.88558,0.95631,0.75846,0.81,0.57765,0.97201,0.000438703,0.000438703,0.000438703
72,5571.31,0.74179,0.54002,1.01791,0.95603,0.89163,0.9572,0.75412,0.82698,0.57507,0.95675,0.000424556,0.000424556,0.000424556
73,5659.33,0.74407,0.53565,1.00469,0.96494,0.89379,0.95741,0.75234,0.81789,0.56484,0.9568,0.000410409,0.000410409,0.000410409
74,5731.38,0.70898,0.55386,1.00296,0.96074,0.89379,0.95683,0.7425,0.82647,0.60039,0.97946,0.000396262,0.000396262,0.000396262
75,5806.63,0.71792,0.54044,1.01752,0.96463,0.88213,0.94974,0.74066,0.84973,0.61868,1.014,0.000382115,0.000382115,0.000382115
76,5884.67,0.70441,0.52637,1.00635,0.92459,0.89379,0.93885,0.71901,0.85679,0.62482,0.99896,0.000367967,0.000367967,0.000367967
77,5965.1,0.73141,0.56474,1.02528,0.94673,0.87418,0.93224,0.72135,0.81707,0.6217,0.97642,0.00035382,0.00035382,0.00035382
78,6045.3,0.70395,0.52872,1.01182,0.95389,0.89379,0.93335,0.72041,0.78721,0.60868,0.97092,0.000339673,0.000339673,0.000339673
79,6128.63,0.70869,0.52993,0.98325,0.95751,0.89379,0.94061,0.71894,0.81478,0.61367,0.98787,0.000325526,0.000325526,0.000325526
80,6207.72,0.71816,0.54267,1.02956,0.94041,0.89204,0.95339,0.72375,0.86906,0.60419,1.02443,0.000311379,0.000311379,0.000311379
81,6288.03,0.69388,0.5085,0.97744,0.92848,0.89379,0.94988,0.71958,0.85494,0.60004,1.01144,0.000297232,0.000297232,0.000297232
82,6367.61,0.72737,0.52898,1.00226,0.92981,0.89379,0.94835,0.74564,0.8165,0.60249,0.99212,0.000283085,0.000283085,0.000283085
83,6446.98,0.73231,0.52921,1.00448,0.96077,0.88479,0.94115,0.74261,0.78202,0.59639,0.97322,0.000268938,0.000268938,0.000268938
84,6523.48,0.72269,0.53516,0.98966,0.96503,0.89074,0.94165,0.74368,0.77438,0.58458,0.96971,0.000254791,0.000254791,0.000254791
85,6598.45,0.72678,0.53631,1.00362,0.96406,0.89379,0.93868,0.7341,0.78946,0.58516,0.97277,0.000240644,0.000240644,0.000240644
86,6673.44,0.72649,0.52181,1.02375,0.96199,0.89379,0.94667,0.7297,0.80994,0.58062,0.98044,0.000226497,0.000226497,0.000226497
87,6749.61,0.7437,0.5643,1.036,0.96373,0.89174,0.94981,0.72963,0.83697,0.59195,0.98795,0.000212349,0.000212349,0.000212349
88,6824.36,0.70345,0.49886,0.99014,0.95509,0.88794,0.94105,0.71764,0.83222,0.59418,0.98778,0.000198202,0.000198202,0.000198202
89,6895.7,0.6802,0.53521,1.00498,0.93939,0.89379,0.93922,0.70476,0.84899,0.60375,1.00069,0.000184055,0.000184055,0.000184055
90,6970.91,0.67475,0.49033,0.98667,0.92732,0.89379,0.94271,0.71788,0.83754,0.61512,0.99056,0.000169908,0.000169908,0.000169908
91,7048.62,0.60669,0.45999,0.93571,0.93076,0.89285,0.93774,0.72372,0.83453,0.62539,0.98847,0.000155761,0.000155761,0.000155761
92,7123.27,0.57262,0.44776,0.90974,0.93137,0.89338,0.93578,0.71811,0.83438,0.63487,0.99083,0.000141614,0.000141614,0.000141614
93,7200.3,0.64979,0.45458,0.97292,0.93828,0.89227,0.9378,0.72082,0.84128,0.63335,1.0022,0.000127467,0.000127467,0.000127467
94,7275.35,0.58868,0.48104,0.91675,0.94699,0.87995,0.93835,0.71854,0.84097,0.62267,1.00809,0.00011332,0.00011332,0.00011332
95,7356.98,0.55337,0.42616,0.89502,0.94915,0.87744,0.94053,0.73175,0.83481,0.60491,1.00266,9.91726e-05,9.91726e-05,9.91726e-05
96,7437.27,0.56975,0.44668,0.92605,0.93844,0.88818,0.94013,0.7258,0.84318,0.59409,1.00419,8.50255e-05,8.50255e-05,8.50255e-05
97,7511.88,0.55903,0.44076,0.91037,0.93348,0.89379,0.94107,0.71681,0.84424,0.59371,1.0017,7.08784e-05,7.08784e-05,7.08784e-05
98,7587.26,0.57061,0.45306,0.92294,0.93302,0.89379,0.94142,0.72393,0.83576,0.59691,0.9983,5.67313e-05,5.67313e-05,5.67313e-05
99,7664.38,0.54475,0.40768,0.89625,0.93415,0.89379,0.94049,0.72333,0.83106,0.60366,0.99747,4.25842e-05,4.25842e-05,4.25842e-05
100,7744.58,0.55774,0.42907,0.8976,0.93395,0.89379,0.93822,0.71871,0.8295,0.6073,0.99896,2.84371e-05,2.84371e-05,2.84371e-05
